DATE,TIME,LATITUDE,NS,LONGITUDE,EW,NAME,MANUAL,LONG
09/08/2016,21:59:08,52.65979,N,1.0717,W,20160809/No_ID_0_20160809_215908_000,NOISE,-1.0717
09/08/2016,21:59:30,52.65984,N,1.07128,W,20160809/No_ID_0_20160809_215930_000,NoID ,-1.07128
09/08/2016,21:59:40,52.65992,N,1.07119,W,20160809/No_ID_0_20160809_215940_000,NoID ,-1.07119
09/08/2016,21:59:56,52.6601,N,1.07107,W,20160809/No_ID_0_20160809_215956_000,NOISE,-1.07107
09/08/2016,22:00:12,52.66028,N,1.07099,W,20160809/No_ID_0_20160809_220012_000,NoID ,-1.07099
09/08/2016,22:00:19,52.66036,N,1.0709,W,20160809/No_ID_0_20160809_220019_000,NOISE,-1.0709
09/08/2016,22:00:35,52.66053,N,1.07076,W,20160809/No_ID_0_20160809_220035_000,NOISE,-1.07076
09/08/2016,22:00:38,52.66062,N,1.0707,W,20160809/No_ID_0_20160809_220038_000,NOISE,-1.0707
09/08/2016,22:00:47,52.66062,N,1.0707,W,20160809/No_ID_0_20160809_220047_000,NoID ,-1.0707
09/08/2016,22:00:53,52.66071,N,1.07063,W,20160809/No_ID_0_20160809_220053_000,NOISE,-1.07063
09/08/2016,22:01:00,52.66071,N,1.07063,W,20160809/No_ID_0_20160809_220100_000,NOISE,-1.07063
09/08/2016,22:01:05,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220105_000,NoID ,-1.07062
09/08/2016,22:01:16,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220116_000,NOISE,-1.07062
09/08/2016,22:01:23,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220123_000,NOISE,-1.07062
09/08/2016,22:01:31,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220131_000,NOISE,-1.07062
09/08/2016,22:01:40,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220140_000,NOISE,-1.07062
09/08/2016,22:01:50,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220150_000,NOISE,-1.07062
09/08/2016,22:01:56,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220156_000,NOISE,-1.07062
09/08/2016,22:02:00,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220200_000,NOISE,-1.07062
09/08/2016,22:02:10,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220210_000,NOISE,-1.07062
09/08/2016,22:02:16,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220216_000,NOISE,-1.07062
09/08/2016,22:02:21,52.6608,N,1.07062,W,20160809/No_ID_0_20160809_220221_000,NOISE,-1.07062
