FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
SITE8,UNIT11943_20170408_212304.wac,0,1004.777,2.022,UNIT11943_0_20170408_213948_777,08/04/2017,21:39:48,21,08/04/2017,09:39:48,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,1037.765,2.135,UNIT11943_0_20170408_214021_765,08/04/2017,21:40:21,21,08/04/2017,09:40:21,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,1087.124,2.075,UNIT11943_0_20170408_214111_124,08/04/2017,21:41:11,21,08/04/2017,09:41:11,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,1191.722,2.277,UNIT11943_0_20170408_214255_722,08/04/2017,21:42:55,21,08/04/2017,09:42:55,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_215304.wac,0,0,2.099,UNIT11943_0_20170408_215304_000,08/04/2017,21:53:04,21,08/04/2017,09:53:04,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_215304.wac,0,547.226,2.073,UNIT11943_0_20170408_220211_226,08/04/2017,22:02:11,22,08/04/2017,10:02:11,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_215304.wac,0,560.135,2.065,UNIT11943_0_20170408_220224_135,08/04/2017,22:02:24,22,08/04/2017,10:02:24,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_215304.wac,0,584.674,4.525,UNIT11943_0_20170408_220248_674,08/04/2017,22:02:48,22,08/04/2017,10:02:48,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_215304.wac,0,1056.984,0.315,UNIT11943_0_20170408_221040_984,08/04/2017,22:10:40,22,08/04/2017,10:10:40,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_222304.wac,0,0,2.099,UNIT11943_0_20170408_222304_000,08/04/2017,22:23:04,22,08/04/2017,10:23:04,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_222304.wac,0,950.294,2.005,UNIT11943_0_20170408_223854_294,08/04/2017,22:38:54,22,08/04/2017,10:38:54,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_222304.wac,0,1476.626,2.073,UNIT11943_0_20170408_224740_626,08/04/2017,22:47:40,22,08/04/2017,10:47:40,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_222304.wac,0,1481.661,2.039,UNIT11943_0_20170408_224745_661,08/04/2017,22:47:45,22,08/04/2017,10:47:45,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_222304.wac,0,1638.794,2.405,UNIT11943_0_20170408_225022_794,08/04/2017,22:50:22,22,08/04/2017,10:50:22,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CHECK
SITE8,UNIT11943_20170408_225304.wac,0,0,2.099,UNIT11943_0_20170408_225304_000,08/04/2017,22:53:04,22,08/04/2017,10:53:04,10,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_225304.wac,0,732.674,2.125,UNIT11943_0_20170408_230516_674,08/04/2017,23:05:16,23,08/04/2017,11:05:16,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_225304.wac,0,735.145,2.554,UNIT11943_0_20170408_230519_145,08/04/2017,23:05:19,23,08/04/2017,11:05:19,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_225304.wac,0,758.32,3.179,UNIT11943_0_20170408_230542_320,08/04/2017,23:05:42,23,08/04/2017,11:05:42,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_225304.wac,0,763.03,2.569,UNIT11943_0_20170408_230547_030,08/04/2017,23:05:47,23,08/04/2017,11:05:47,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_232304.wac,0,0,2.099,UNIT11943_0_20170408_232304_000,08/04/2017,23:23:04,23,08/04/2017,11:23:04,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_235304.wac,0,0,2.099,UNIT11943_0_20170408_235304_000,08/04/2017,23:53:04,23,08/04/2017,11:53:04,11,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_002304.wac,0,0,2.099,UNIT11943_0_20170409_002304_000,09/04/2017,00:23:04,0,08/04/2017,12:23:04,12,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_002304.wac,0,847.784,2.115,UNIT11943_0_20170409_003711_784,09/04/2017,00:37:11,0,08/04/2017,12:37:11,12,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170409_005304.wac,0,0,2.099,UNIT11943_0_20170409_005304_000,09/04/2017,00:53:04,0,08/04/2017,12:53:04,12,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,0,2.099,UNIT11943_0_20170409_012305_000,09/04/2017,01:23:05,1,08/04/2017,13:23:05,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,197.065,2.035,UNIT11943_0_20170409_012622_065,09/04/2017,01:26:22,1,08/04/2017,13:26:22,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,207.893,2.107,UNIT11943_0_20170409_012632_893,09/04/2017,01:26:32,1,08/04/2017,13:26:32,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,230.984,2.015,UNIT11943_0_20170409_012655_984,09/04/2017,01:26:55,1,08/04/2017,13:26:55,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,234.165,2.035,UNIT11943_0_20170409_012659_165,09/04/2017,01:26:59,1,08/04/2017,13:26:59,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,259.835,2.064,UNIT11943_0_20170409_012724_835,09/04/2017,01:27:24,1,08/04/2017,13:27:24,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,263.195,2.004,UNIT11943_0_20170409_012728_195,09/04/2017,01:27:28,1,08/04/2017,13:27:28,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,376.974,4.025,UNIT11943_0_20170409_012921_974,09/04/2017,01:29:21,1,08/04/2017,13:29:21,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,439.741,2.058,UNIT11943_0_20170409_013024_741,09/04/2017,01:30:24,1,08/04/2017,13:30:24,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,500.122,2.077,UNIT11943_0_20170409_013125_122,09/04/2017,01:31:25,1,08/04/2017,13:31:25,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,502.798,2.001,UNIT11943_0_20170409_013127_798,09/04/2017,01:31:27,1,08/04/2017,13:31:27,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_012305.wac,0,581.269,2.03,UNIT11943_0_20170409_013246_269,09/04/2017,01:32:46,1,08/04/2017,13:32:46,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_015304.wac,0,0,2.099,UNIT11943_0_20170409_015304_000,09/04/2017,01:53:04,1,08/04/2017,13:53:04,13,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_015304.wac,0,782.133,2.367,UNIT11943_0_20170409_020606_133,09/04/2017,02:06:06,2,08/04/2017,14:06:06,14,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170409_022304.wac,0,0,2.099,UNIT11943_0_20170409_022304_000,09/04/2017,02:23:04,2,08/04/2017,14:23:04,14,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_025304.wac,0,0,2.099,UNIT11943_0_20170409_025304_000,09/04/2017,02:53:04,2,08/04/2017,14:53:04,14,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_025304.wac,0,1457.108,2.091,UNIT11943_0_20170409_031721_108,09/04/2017,03:17:21,3,08/04/2017,15:17:21,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170409_025304.wac,0,1460.562,2.337,UNIT11943_0_20170409_031724_562,09/04/2017,03:17:24,3,08/04/2017,15:17:24,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170409_025304.wac,0,1697.635,4.364,UNIT11943_0_20170409_032121_635,09/04/2017,03:21:21,3,08/04/2017,15:21:21,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_025304.wac,0,1702.98,2.519,UNIT11943_0_20170409_032126_980,09/04/2017,03:21:26,3,08/04/2017,15:21:26,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_032304.wac,0,0,2.099,UNIT11943_0_20170409_032304_000,09/04/2017,03:23:04,3,08/04/2017,15:23:04,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_035304.wac,0,0,2.099,UNIT11943_0_20170409_035304_000,09/04/2017,03:53:04,3,08/04/2017,15:53:04,15,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_042304.wac,0,0,2.099,UNIT11943_0_20170409_042304_000,09/04/2017,04:23:04,4,08/04/2017,16:23:04,16,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_045304.wac,0,0,2.099,UNIT11943_0_20170409_045304_000,09/04/2017,04:53:04,4,08/04/2017,16:53:04,16,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_052304.wac,0,0,2.099,UNIT11943_0_20170409_052304_000,09/04/2017,05:23:04,5,08/04/2017,17:23:04,17,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_052304.wac,0,703.583,2.217,UNIT11943_0_20170409_053447_583,09/04/2017,05:34:47,5,08/04/2017,17:34:47,17,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_052304.wac,0,752.086,2.113,UNIT11943_0_20170409_053536_086,09/04/2017,05:35:36,5,08/04/2017,17:35:36,17,Noise,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170409_052304.wac,0,821.958,2.141,UNIT11943_0_20170409_053645_958,09/04/2017,05:36:45,5,08/04/2017,17:36:45,17,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170411_062704.wac,0,258.281,2.019,UNIT11943_0_20170411_063122_281,11/04/2017,06:31:22,6,10/04/2017,18:31:22,18,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_192000.wac,0,97.748,2.051,UNIT11943_0_20170406_192137_748,06/04/2017,19:21:37,19,06/04/2017,07:21:37,7,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_192000.wac,0,617.462,3.137,UNIT11943_0_20170406_193017_462,06/04/2017,19:30:17,19,06/04/2017,07:30:17,7,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CHECK
SITE8,UNIT11943_20170406_192000.wac,0,668.057,2.042,UNIT11943_0_20170406_193108_057,06/04/2017,19:31:08,19,06/04/2017,07:31:08,7,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,0,2.099,UNIT11943_0_20170406_195000_000,06/04/2017,19:50:00,19,06/04/2017,07:50:00,7,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,331.066,2.033,UNIT11943_0_20170406_195531_066,06/04/2017,19:55:31,19,06/04/2017,07:55:31,7,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,1083.071,2.028,UNIT11943_0_20170406_200803_071,06/04/2017,20:08:03,20,06/04/2017,08:08:03,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,1088.086,2.113,UNIT11943_0_20170406_200808_086,06/04/2017,20:08:08,20,06/04/2017,08:08:08,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,1093.087,2.513,UNIT11943_0_20170406_200813_087,06/04/2017,20:08:13,20,06/04/2017,08:08:13,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_195000.wac,0,1626.16,2.139,UNIT11943_0_20170406_201706_160,06/04/2017,20:17:06,20,06/04/2017,08:17:06,8,Noise,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_202002.wac,0,0,2.099,UNIT11943_0_20170406_202002_000,06/04/2017,20:20:02,20,06/04/2017,08:20:02,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170406_202002.wac,0,1313.249,3.751,UNIT11943_0_20170406_204155_249,06/04/2017,20:41:55,20,06/04/2017,08:41:55,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170406_205004.wac,0,0,2.099,UNIT11943_0_20170406_205004_000,06/04/2017,20:50:04,20,06/04/2017,08:50:04,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
